as_of_date,delivery_date,carrier,manifest_sha256,public_ledger_row_sha256,timestamp_status,proof_input_path,proof_input_sha256,opentimestamps_proof_path,opentimestamps_proof_sha256,timestamped_at_utc,notes
2026-05-26,2026-05-27,w31,cb2a002b5043240b26f911480a5c1aa7f7812430d9503c634be0f339e88da6a1,8f2e9f18ffcbda0f8b118aee8c2f7baf8ff1018856fa13f44bcf8ebb93053bfd,opentimestamps_proof,hashes/opentimestamps/2026/05/2026-05-26_w31_cb2a002b5043240b26f911480a5c1aa7f7812430d9503c634be0f339e88da6a1,9dae586000eef3f44263885c7de4ff39391356f6897034bfed8a152deac2c79a,hashes/opentimestamps/2026/05/2026-05-26_w31_cb2a002b5043240b26f911480a5c1aa7f7812430d9503c634be0f339e88da6a1.ots,4ba6c740d0d869733b02f4f8a95ade9edb0ad6183cb37825892d0f88c6e8ec6d,2026-05-27T10:23:01.112176+00:00,retry
2026-05-27,2026-05-28,w31,70845ac0b2ce331e3e5725f7272d50bdfda362f11b5485536e8e82371751742d,5ca8d652e2c277a7ac3626b6cf67510141824a5fdd351a3b77cb1389ffb243ba,opentimestamps_proof,hashes/opentimestamps/2026/05/2026-05-27_w31_70845ac0b2ce331e3e5725f7272d50bdfda362f11b5485536e8e82371751742d,6709c0005084ad0f16a23aeadab25b54d1a40240db55babadb226906a06c4ff1,hashes/opentimestamps/2026/05/2026-05-27_w31_70845ac0b2ce331e3e5725f7272d50bdfda362f11b5485536e8e82371751742d.ots,2e7836d64d811554da41bb3b70c7033d5c47fd571204da51159bf565a6f79029,2026-05-27T18:06:26.695526+00:00,retry
2026-05-28,2026-05-29,w31,f28f3a05944991c40c4554bcb2983996b1cfe17580f55408eeb3fb7bd2943192,eff15323dcc5deea4604a54050db680a6ba728135a6fee8fc7b96c62e635e165,opentimestamps_proof,hashes/opentimestamps/2026/05/2026-05-28_w31_f28f3a05944991c40c4554bcb2983996b1cfe17580f55408eeb3fb7bd2943192,905efe034ae7bde4da99ac3a255099ae941ca3461d46b3fb5392afd170fd7006,hashes/opentimestamps/2026/05/2026-05-28_w31_f28f3a05944991c40c4554bcb2983996b1cfe17580f55408eeb3fb7bd2943192.ots,88ea575958f93c56b019039aac347e321d695c8e13e45eb2bdf8cd495d8edec1,2026-05-28T12:45:19.169405+00:00,same-run
2026-06-01,2026-06-02,w31,8ae1e969584454065331e6a8ee2bb3354a3bf3dfca8bd176ad16610766adf5a0,f34179e577c278992fdd0647ce37e54322ee2ef1c2733e70920c57bf2f4b54cc,opentimestamps_proof,hashes/opentimestamps/2026/06/2026-06-01_w31_8ae1e969584454065331e6a8ee2bb3354a3bf3dfca8bd176ad16610766adf5a0,6a3c5d55513c9cd16fafd593992b1d67947490618c916bc43eca9de546c4e909,hashes/opentimestamps/2026/06/2026-06-01_w31_8ae1e969584454065331e6a8ee2bb3354a3bf3dfca8bd176ad16610766adf5a0.ots,49b17deb3e85646dbd19a789d5c1d95e558c8e1dcd2817992003b0c45805461d,2026-06-01T12:45:18.722112+00:00,same-run
2026-06-08,2026-06-09,w31,20a7be8fa35004db097c4a9b4469e7885927f2c2ce944cae62d6f752fb85b581,41cdce9a220c6af327943c6935cfd818a55cfc35fc1c3b1881b53443d6948185,opentimestamps_proof,hashes/opentimestamps/2026/06/2026-06-08_w31_20a7be8fa35004db097c4a9b4469e7885927f2c2ce944cae62d6f752fb85b581,f73c1cd222dce06d555e603a6900b980a350b5962a6d4becc1a002b4740c74b0,hashes/opentimestamps/2026/06/2026-06-08_w31_20a7be8fa35004db097c4a9b4469e7885927f2c2ce944cae62d6f752fb85b581.ots,b566b5b76332abfc93b66b4312a51b22a5d802b7305ec171c93592a43e437727,2026-06-08T12:45:12.548735+00:00,same-run
2026-06-09,2026-06-10,w31,1ae2b99b103ad2fb129ed910b11bf177003d5e4aff82a81d24f29c0941260190,ce4be3193a12496b22f7c2d655e1a4a829dd2a906ef491ed06794da2f8b87aba,opentimestamps_proof,hashes/opentimestamps/2026/06/2026-06-09_w31_1ae2b99b103ad2fb129ed910b11bf177003d5e4aff82a81d24f29c0941260190,60028b6cfee0e99794b0bc407b0a30ac1d9ab3d3b61ae2e14c74fb431418ddec,hashes/opentimestamps/2026/06/2026-06-09_w31_1ae2b99b103ad2fb129ed910b11bf177003d5e4aff82a81d24f29c0941260190.ots,c25c1de2f9ca0cb73dbd7433cb73ba7a8f993ab6f35c3955903b7cc4762b276f,2026-06-09T12:45:11.166132+00:00,same-run
2026-06-10,2026-06-11,w31,fccd1b6bcf3d9c09b96c67c709569aab36b439c3c1f37c0d69e594df723ac0df,3b21773d144f2934ac6146b272d52b9c98b09fafc4630e6950b1a3b1c49cbb16,opentimestamps_proof,hashes/opentimestamps/2026/06/2026-06-10_w31_fccd1b6bcf3d9c09b96c67c709569aab36b439c3c1f37c0d69e594df723ac0df,4ec5051270cc3bf20f48699a736749d55807f84aef0c8059069df83d65691ec2,hashes/opentimestamps/2026/06/2026-06-10_w31_fccd1b6bcf3d9c09b96c67c709569aab36b439c3c1f37c0d69e594df723ac0df.ots,704b71cf366e0e88c85919ed7d2495829b554633ff88e7107569a3f4c5a8970b,2026-06-10T12:45:07.639123+00:00,same-run
2026-06-11,2026-06-12,w31,5b339003a7f28ae46c711654315a4a9d6f6ada7f74a1ebb2df23f811c8a52136,454f8eed985a08c15aa1ef1f73c4d45492d1f59149522e3074e007a4db63ba65,opentimestamps_proof,hashes/opentimestamps/2026/06/2026-06-11_w31_5b339003a7f28ae46c711654315a4a9d6f6ada7f74a1ebb2df23f811c8a52136,290eee8596f0fcbb67109af0060296cc2c89ae2c308ff67e510e79cc09c24a56,hashes/opentimestamps/2026/06/2026-06-11_w31_5b339003a7f28ae46c711654315a4a9d6f6ada7f74a1ebb2df23f811c8a52136.ots,2cc64f3a1ec007046847021c91f319dc5e96038890256d6ff382ec38ded6a409,2026-06-11T12:45:12.931126+00:00,same-run
2026-06-12,2026-06-13,w31,3ee8f5015d55a46061cd7329e3e7f2c4563cdb3af4446a94695398df6c66974a,2ec20bbaec247436bcfe46d1d8bb1ab51cbd0502fa262ec3f03e2863b8eb955f,opentimestamps_proof,hashes/opentimestamps/2026/06/2026-06-12_w31_3ee8f5015d55a46061cd7329e3e7f2c4563cdb3af4446a94695398df6c66974a,e923009dd87cad4f511b427dcfd44bfdde48d8cdde95a7b68dd78ac7387533eb,hashes/opentimestamps/2026/06/2026-06-12_w31_3ee8f5015d55a46061cd7329e3e7f2c4563cdb3af4446a94695398df6c66974a.ots,40f75571bfcc8294058a80dcb9dce82a8dcd3579e790aeae76baa7faabfc0d2f,2026-06-12T12:45:10.146448+00:00,same-run
2026-06-13,2026-06-14,w31,bd124724449b3bc722805ea0c6b0e550e2e6f7fa951c9778da13c6c5af8dd289,8473d6b133bf93cd93826d0410088c8f3a040c6c47b5a566379a35bdd826c446,opentimestamps_proof,hashes/opentimestamps/2026/06/2026-06-13_w31_bd124724449b3bc722805ea0c6b0e550e2e6f7fa951c9778da13c6c5af8dd289,b72388ec7c914de77e563406f1a22043743c69ddae7e809e35a14bdf8ed175b9,hashes/opentimestamps/2026/06/2026-06-13_w31_bd124724449b3bc722805ea0c6b0e550e2e6f7fa951c9778da13c6c5af8dd289.ots,9eea09810edaa3fb1faa7ddf14775a603b4d30f890573f20469b1f0108c0b677,2026-06-13T12:45:08.884466+00:00,same-run
