as_of_date,delivery_date,carrier,manifest_sha256,methodology_version,outcome_methodology_version,outcome_status,rows_counted_sha256,position_count,priced_position_count,missing_price_position_count,total_mw,filled_position_count,filled_mw,fill_rate,hit_rate,realized_filled_pnl,realized_pnl_if_filled,worst_path_hour_pnl,expected_ev,expected_filled_ev,ercot_data_source,ercot_data_product,ercot_data_snapshot_sha256,ercot_data_fetch_time_utc,ercot_data_watermark,private_outcome_sha256
2026-05-26,2026-05-27,w31,cb2a002b5043240b26f911480a5c1aa7f7812430d9503c634be0f339e88da6a1,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,f453bbd25e7f15d8249396a577024f3483d1de383aaf12b3718e380667d678b0,21,21,0,389.0,3,25.0,0.142857,1.0,2774.1925,7348.77,0.0,2955.319527,1277.49813,ercot-settlement-price-snapshot,lmp_hourly_da_rt,53e7cd32413fe450f043853f9e0fdcdebf5e8a5ed97ea78e839c07b247ffcb5e,2026-06-01T13:15:12.144556+00:00,2026-05-27,13a0d5b1d98a2e399f6f2d884a2475c0ddb34d85db41f82f726ddb8359c28365
2026-05-27,2026-05-28,w31,70845ac0b2ce331e3e5725f7272d50bdfda362f11b5485536e8e82371751742d,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,e541ed0c8d12e751101c35dc5305ec4620efc2cb39947788e85505250e800917,40,40,0,631.0,1,21.0,0.025,1.0,469.14,3155.755,0.0,4815.216019,1931.221307,ercot-settlement-price-snapshot,lmp_hourly_da_rt,faae6c4a6ac5322fbe4740451aed47b41113728c3a0519aa16b4a468edd19f7b,2026-06-01T13:15:12.144556+00:00,2026-05-28,2f82bc286ad95c0cce9bca6e9f7d94623f0192e96e179d09fedb08baf5143acb
2026-05-28,2026-05-29,w31,f28f3a05944991c40c4554bcb2983996b1cfe17580f55408eeb3fb7bd2943192,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,78b9d5533b6313e38a66a4feb611b265791bc890da9fe480720d049b0c0b4949,50,50,0,786.0,14,247.0,0.28,0.714286,20282.375,19261.309167,-133.5225,6623.639046,2526.386656,ercot-settlement-price-snapshot,lmp_hourly_da_rt,0b16c0b8ad690c2fd8ed348895f3b60d4363f440e030187002392968856512b5,2026-06-01T13:15:12.144556+00:00,2026-05-29,7f6be0aef38ac1defb2b1dea850e7dfd8cc81566e4bec20e3ce3339d001616c5
2026-06-08,2026-06-09,w31,20a7be8fa35004db097c4a9b4469e7885927f2c2ce944cae62d6f752fb85b581,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,5a9653b56130861926337e43932c66a4b6f678b3c27feababd5f50e0d7f0321e,77,77,0,1227.0,25,410.0,0.324675,0.4,-56857.53,-56170.724167,-15742.4475,10512.055827,3948.0992,ercot-settlement-price-snapshot,lmp_hourly_da_rt,ffce666a6d70d3047ba2ebfc214ca2e403648ed187f7658a34bdb33bcb7ffb91,2026-06-12T13:15:05.761496+00:00,2026-06-09,a2d7a2b54d022728bdc6cbe1ecd8be5938363b2ced2d3d338c33437a08cf5bf3
2026-06-09,2026-06-10,w31,1ae2b99b103ad2fb129ed910b11bf177003d5e4aff82a81d24f29c0941260190,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,a7f2e89b98adb04e695ed942d5701cf21de03ddfd516583530820a96edd44581,83,83,0,1237.0,29,470.0,0.349398,0.862069,30312.0,31849.429167,-1744.9425,10313.482198,3977.177822,ercot-settlement-price-snapshot,lmp_hourly_da_rt,21ad801db4eea8667deb18752c7bc1fb50e0a918d7fc93a2ecf2fa900fbb18f1,2026-06-13T13:15:03.431471+00:00,2026-06-10,8c7dd52c2459a4e9dab93edbebcc87f8dc852a4e31522b507d9473f23b036678
2026-06-10,2026-06-11,w31,fccd1b6bcf3d9c09b96c67c709569aab36b439c3c1f37c0d69e594df723ac0df,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,6b4e71ebe9a7c0999178abde7dff7ff7118d7e2d1b7ecda22c8e2b1c7d5ab09f,103,103,0,1541.0,38,615.0,0.368932,0.868421,43977.5675,47076.949167,-951.47,14444.017918,7121.633864,ercot-settlement-price-snapshot,lmp_hourly_da_rt,944ae05f0fa1c0cfb3c00c6c72f5b662d97beb7fd99f6d36f69257de54042fa4,2026-06-14T13:15:01.949014+00:00,2026-06-11,00c7ac534de46f93349c495090bc65345e2680ef2cf30da9a7b449c1a3096097
2026-06-11,2026-06-12,w31,5b339003a7f28ae46c711654315a4a9d6f6ada7f74a1ebb2df23f811c8a52136,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,9e80f44beec7ff44ca337b31eebdc4ec908a729de6f803440180ab2bb790e161,94,94,0,1591.0,40,720.0,0.425532,0.975,47671.57,39650.74,-864.955,19322.730407,10921.442793,ercot-settlement-price-snapshot,lmp_hourly_da_rt,5afe408d2fe1ee2052ebbb6edf2618a987a862c5c3b117d4007dbd2b47eab8d9,2026-06-15T13:15:05.140562+00:00,2026-06-12,ed40a2f538744f3aef7ccd99656983f600c1a0dce9cdb93da8fcbe5abbd3d341
2026-06-12,2026-06-13,w31,3ee8f5015d55a46061cd7329e3e7f2c4563cdb3af4446a94695398df6c66974a,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,fe7da4138dd74300e62dc18f1216936b56ee78bda2446e514d72e8bc84d7fba7,98,98,0,1612.0,33,482.0,0.336735,0.636364,-25720.32,-22601.174167,-27337.44,20777.946024,10369.442108,ercot-settlement-price-snapshot,lmp_hourly_da_rt,c469a03363aaaf13e41256ecc9e6471d7d5588797c10248e5026b51607493fdd,2026-06-16T13:15:03.889914+00:00,2026-06-13,fef0febdfc0acc0b70ed12871fba8aacd31666271044bbb40e4b0208a972dda3
2026-06-13,2026-06-14,w31,bd124724449b3bc722805ea0c6b0e550e2e6f7fa951c9778da13c6c5af8dd289,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,2391348edf33acb205d403bc92e3b2ebeb95d9195aa419da7df69c2d01d02ade,106,106,0,1754.0,13,163.0,0.122642,0.615385,-1973.2,9740.196667,-2499.8125,22013.756504,9061.893093,ercot-settlement-price-snapshot,lmp_hourly_da_rt,157c16a8a16073b3013a0ab1ea57f09b13f5d6c2353e11bb6236628f1a6bc529,2026-06-17T13:15:02.519967+00:00,2026-06-14,d904141db5d10aa81f86245574e2cae4d1a58b7e8845329aab490568ab95b36e
2026-06-14,2026-06-15,w31,2afb6146c38c1b4518f75c0334ee5e3e7fbf8588427e9d9889e159aaa9924ef1,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,71c4fdd514f02ae1d9829fc028eb0138eba2073112d50ffc8a2ceef4b9765679,91,91,0,1390.0,33,449.0,0.362637,0.69697,9950.805,8912.003333,-4410.9375,12449.197812,4417.856487,ercot-settlement-price-snapshot,lmp_hourly_da_rt,21a1f2774b7709e27db085fa833961c82cf21b13d4aba18f0725c98b0d5e7541,2026-06-18T19:10:24.525773+00:00,2026-06-15,5511ef6de07831793b6c57f816905322afaf236190528f6b4cc31b0fab4f9345
